Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Consumption_in_City,Fuel_Consumption_in_City_Hwy,Fuel_Consumption_comb,CO2_Emissions,CO2_Level
Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,14.0,9.9,12.1,284,high
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,13.3,10.6,12.1,326,high
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,15.0,13.0,14.1,329,high
Chevrolet,Corvette,Two-seater,6.2,8,AS8,15.4,8.7,12.4,290,high
Chevrolet,Equinox,SUV: Small,1.5,4,A6,8.9,7.7,8.4,198,normal
Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,9.4,8.0,8.8,207,normal
Chevrolet,Malibu,Mid-size,1.5,4,AV,8.2,6.6,7.5,175,normal
Chevrolet,Malibu,Mid-size,2.0,4,A9,10.7,7.1,9.1,213,normal
Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,11.9,10.3,11.2,263,high
Chevrolet,Silverado Custom/WT,Pickup truck: Standard,2.7,4,A8,11.9,10.3,11.2,263,high
Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,10.2,7.2,8.8,238,normal
Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,15.1,11.5,13.5,318,high
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,15.8,11.4,13.8,325,high
Chevrolet,Silverado (Without AFM),Pickup truck: Standard,5.3,8,A6,16.7,11.4,14.3,336,high
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,16.2,12.3,14.5,340,high
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,21.5,16.0,19.0,315,high
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,13.9,10.1,12.2,286,high
Chevrolet,Silverado (Without DFM),Pickup truck: Standard,5.3,8,A8,15.9,10.8,13.6,319,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,12.5,10.8,11.7,275,high
Chevrolet,Silverado 4WD Custom/WT,Pickup truck: Standard,2.7,4,A8,12.5,10.8,11.7,275,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,10.6,9.2,10.0,268,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,15.8,11.9,14.0,329,high
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.3,6,A6,16.3,13.0,14.8,347,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,16.0,11.8,14.1,331,high
Chevrolet,Silverado 4WD (Without AFM),Pickup truck: Standard,5.3,8,A6,17.3,11.8,14.8,348,high
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,16.5,12.8,14.8,347,high
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,22.0,16.4,19.5,326,high
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A6,16.5,13.1,15.0,350,high
Chevrolet,Silverado 4WD Trail Boss (Without AFM),Pickup truck: Standard,5.3,8,A6,17.8,13.2,15.7,368,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,14.4,10.6,12.7,299,high
Chevrolet,Silverado 4WD (Without DFM),Pickup truck: Standard,5.3,8,A8,16.8,11.4,14.4,339,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,14.3,10.7,12.7,298,high
Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,15.3,11.0,13.3,313,high
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A10,14.7,11.2,13.1,307,high
Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,15.6,11.4,13.7,321,high
Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,14.7,11.0,13.1,306,high
Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,15.6,11.6,13.8,324,high
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,6.2,8,A10,15.7,12.4,14.2,332,high
Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,16.8,12.7,15.0,352,high
Chevrolet,Spark,Subcompact,1.4,4,AV,7.7,6.2,7.0,165,normal
Chevrolet,Spark,Subcompact,1.4,4,M5,8.0,6.2,7.2,170,normal
Chevrolet,Suburban,SUV: Standard,3.0,6,A10,11.3,8.6,10.1,272,high
Chevrolet,Suburban,SUV: Standard,5.3,8,A10,14.3,11.8,13.2,309,high
Chevrolet,Suburban (Without Stop-Start),SUV: Standard,5.3,8,A10,15.3,12.0,13.8,325,high
Chevrolet,Suburban 4WD,SUV: Standard,3.0,6,A10,12.0,8.9,10.6,277,high
Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,15.3,12.4,14.0,328,high
Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,16.0,12.6,14.5,341,high
Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,high
Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,high
Chevrolet,Tahoe,SUV: Standard,3.0,6,A10,11.0,8.4,9.8,263,high
Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,14.3,11.8,13.2,309,high
Chevrolet,Tahoe (Without Stop-Start),SUV: Standard,5.3,8,A10,15.3,12.0,13.8,325,high
Chevrolet,Tahoe 4WD,SUV: Standard,3.0,6,A10,12.0,8.9,10.6,277,high
Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,14.8,11.8,13.5,317,high
Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,15.5,12.0,13.9,327,high
Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,high
Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,high
Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,8.4,7.5,8.0,188,normal
Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,8.0,7.2,7.6,179,normal
Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,8.9,7.8,8.4,196,normal
Chevrolet,Traverse,SUV: Standard,3.6,6,A9,13.0,8.8,11.1,261,high
Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,13.6,9.6,11.8,277,high
Chevrolet,Trax,SUV: Small,1.4,4,AS6,9.1,7.6,8.4,196,normal
Chevrolet,Trax (SIDI),SUV: Small,1.4,4,AS6,9.7,7.3,8.6,203,normal
Chevrolet,Trax 4WD,SUV: Small,1.4,4,AS6,10.0,8.0,9.1,214,normal
Chevrolet,Trax 4WD (SIDI),SUV: Small,1.4,4,AS6,10.2,7.7,9.1,214,normal
Chrysler,300,Full-size,3.6,6,A8,12.4,7.8,10.3,242,normal
Chrysler,300,Full-size,5.7,8,A8,14.7,9.4,12.3,289,high
Chrysler,300 AWD,Full-size,3.6,6,A8,12.8,8.7,11.0,258,high
